Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,22.6,29.5,14.6,1008.1,51,4.32,13,7.2,14.4,-, , , , 
2,15.7,19.7,13,1010.7,91,0.51,3.2,5.9,7.2,-,o, , , 
3,18.9,23.2,13,1014.9,47,0.25,14.2,10.4,18,-, , , , 
4,19.8,23.8,15.3,1014.9,25,0,25.1,13,21.7,-, , , , 
5,21.9,27.2,16.9,1006.4,47,0,13.7,16.1,25.2,-, , , , 
6,16.8,21.6,14,1009.8,84,26.42,3.5,6.7,18,-,o, , ,o
7,19.2,23,13.6,1012.1,58,7.11,16.3,5.9,10.7,-, , , , 
8,19.9,25.2,13.7,1009.7,62,0,12.4,9.1,14.4,-, , , , 
9,14.1,16.8,11.7,1014.2,91,12.7,1.1,8.1,18,-,o, , ,o
10,14.6,22.4,10.3,1013.8,84,5.84,3.9,7.2,10.7,-,o, , ,o
11,13.5,17.2,10,1007.3,65,9.4,16.9,12.8,18,-,o, , , 
12,22.3,26.4,13.3,1000.7,32,2.79,28.5,15.7,21.7,-, , , , 
13,25.6,30.5,19.1,999.3,48,0,22,18,21.7,-, , , , 
14,21.4,24.5,19.8,1008.4,42,0,17.7,9.8,14.4,-, , , , 
15,20,24.6,15,1013.7,42,0,17.1,9.8,14.4,-, , , , 
16,23.6,26.7,14.8,1010,49,0,13.8,15.7,28.7,-, , , , 
17,24.1,28.6,20.8,1001.2,44,0,18.2,23.3,32.4,-, , , , 
18,25.1,30.7,20.3,1002.7,46,0,12.4,6.7,10.7,-, , , , 
19,22.7,27.4,17.4,1009.8,28,0,23.3,11.3,18,-, , , , 
20,21.6,26,16.8,1016.5,32,0,22.7,9.1,14.4,-, , , , 
21,20.9,24,17.3,1014.3,41,0,17.1,8.1,14.4,-, , , , 
22,22.3,27.3,17.4,1010.5,45,0,14.3,6.3,14.4,-, , , , 
23,23.9,30.3,17.4,1008.9,42,0,12.2,5.4,7.2,-, , , , 
24,25,31.3,17.8,1008,44,0,9.3,8.1,10.7,-, , , , 
25,27.5,31.9,20,1008.5,40,0,10.1,11.3,14.4,-, , , , 
26,25.3,32.1,20.9,1007.8,48,0,10.3,8.1,10.7,-, , , , 
27,24.2,31.6,17.7,1005.5,45,0,19.2,6.7,14.4,-, , , , 
28,24.1,29.9,17.1,1005,55,0,14.3,6.7,10.7,-, , , , 
29,22.8,27.7,19.8,1006.4,73,0,3.5,6.3,7.2,-, , , , 
30,26.3,31.5,19.5,1007.4,48,0,8.4,11.3,21.7,-, , , , 
31,27.8,32.1,22.7,1004.2,44,0,10.6,18.9,25.2,-, , , , 
