Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,23.4,27.2,14.7,1015,63,0,20,4.3,7.2,-, , , , 
2,23,27.1,19.9,1011.7,69,0,7.4,5.9,10.7,-, , , , 
3,24.9,30,20.2,1012.2,65,0,11.9,9.4,10.7,-, , , , 
4,24.3,30.7,18.4,1013.8,52,0,18.5,8.5,18,-, , , , 
5,20.5,25.2,17.3,1019.6,51,0,20.8,10.4,14.4,-, , , , 
6,19.1,22,16.9,1022.9,53,0,24.1,4.4,7.2,-, , , , 
7,15.8,21,13.1,1019.1,83,4.32,8.2,5,7.2,-,o, , , 
8,14.2,18.6,9.7,1023.1,47,0,21.7,9.3,14.4,-, , , , 
9,15.4,18.7,8.5,1023.6,42,0,27.7,5,10.7,-, , , , 
10,17.2,19.2,12.5,1020,49,0,27,13.9,21.7,-, , , , 
11,18.1,23.6,13.7,1022.3,51,0,18.8,7.2,10.7,-, , , , 
12,18.6,21.5,13.3,1023.5,55,0,10.3,5.9,10.7,-, , , , 
13,19.3,24.2,14.7,1022.2,47,0,15.6,10.2,18,-, , , , 
14,20,25.1,14.3,1023,45,0,21.6,9.4,14.4,-, , , , 
15,15,18.1,14.2,1021.3,91,10.41,4,4.4,14.4,-,o, , ,o
16,16.1,18.6,14.2,1019.5,85,0,6.8,5.4,7.2,-, , , , 
17,18.6,23.2,14.9,1020.7,77,0,4.3,4.4,7.2,-, , , , 
18,18.1,22.5,14.6,1019.8,77,0,4,5,7.2,-, , , , 
19,19.9,24.2,14.1,1017.4,69,0,8.5,7.6,10.7,-, , , , 
20,18.8,21.6,16.4,1017.5,64,0,14.8,5.4,10.7,-, , , , 
21,15.8,17.9,12.7,1016.5,90,7.62,1.9,4.1,7.2,-,o, , ,o
22,10.3,12.8,8.8,1020.6,92,2.79,11.1,16.1,21.7,-,o, , , 
23,8.8,10.1,7.6,1021.8,90,6.35,9.8,9.1,18,-,o, , , 
24,11.2,14.2,7.3,1016.3,84,10.92,8,6.3,10.7,-,o, , , 
25,13.2,16.1,9.3,1018,84,4.06,5.1,5.4,7.2,-, , , , 
26,13.2,17,11.6,1023.8,83,0,6.4,8.1,14.4,-, , , , 
27,11.8,16,9,1023.6,86,5.33,6.4,7.6,10.7,-,o, , , 
28,9.5,11.7,6.9,1031.1,51,0.51,25.6,7.2,10.7,-, , , , 
29,10.8,14.5,6.1,1031,39,0,28.3,8.1,14.4,-, , , , 
30,11.5,15.2,5.7,1027.4,55,2.29,20,13.3,25.2,-, , , , 
31,3.4,6,0,1036.5,76,1.52,24.6,9.4,14.4,-,o, , , 
