Day,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1,29,31.7,24.8,1005.5,74,0,10.8,7.2,14.4,-,,,,
2,31.2,33.7,26.7,1002.5,68,0,20.6,12.6,21.7,-,,,,
3,26.6,32.4,21.4,1001.1,83,72.14,11.7,8.7,14.4,-,o,,,o
4,24.8,28.1,21.2,1003.5,85,0.51,4.7,4.1,7.2,-,o,,,
5,25.8,31.2,21.8,1004.1,73,23.11,15,7.2,10.7,-,o,,,
6,23.6,26.6,21.7,1008.6,90,14.48,13.2,6.3,10.7,-,o,,,
7,25.3,29.7,22,1012.1,82,3.81,9.7,6.3,10.7,-,o,,,
8,26.8,32,22,1012.1,76,0,17.7,6.3,10.7,-,,,,
9,25.9,31.2,21.8,1010.8,82,43.18,14.8,6.7,14.4,-,o,,,
10,27.3,33.2,20.8,1008.7,72,0,13.2,6.7,10.7,-,,,,
11,27,31.4,22.3,1008.3,72,0,5.1,7.2,10.7,-,,,,
12,28.2,32.7,22,1007.9,60,0,10,6.3,10.7,-,,,,
13,29.2,33,23.5,1005.2,56,0,7.4,10.7,18,-,,,,
14,27.7,32.4,24.5,1004.7,71,0.51,6.1,8.5,10.7,-,o,,,
15,25.6,30.9,22,1006.6,80,11.68,4.5,5.4,7.2,-,o,,,
16,24.7,33,23.4,1007.4,82,3.81,-,4.8,7.2,-,o,,,
17,26.1,28.5,23.2,1008.5,69,0,5.3,8.1,18,-,,,,
18,27.1,31.9,23.6,1011.3,62,0,8.2,6.7,10.7,-,,,,
19,24.2,28.1,21,1011.5,75,0,6.6,7.2,14.4,-,,,,
20,25.1,28.8,20.9,1008.6,66,0,11.4,5,7.2,-,,,,
21,26.7,32.2,21.4,1006,63,0,7.9,5,7.2,-,,,,
22,23.4,33.1,18.3,1005.9,69,8.38,20.4,10.4,25.2,-,o,,,
23,24.9,29.9,17.8,1008.2,68,0,13.4,5.7,7.2,-,,,,
24,22.7,26.5,20.6,1009.3,83,1.27,6.1,8.1,21.7,-,o,,,
25,21.7,24.8,19.7,1009.7,86,4.06,10,4.6,10.7,-,o,,,
26,22.1,28.6,18.3,1009.8,77,2.29,19.8,6.7,10.7,-,o,,,
27,24.5,30.2,18,1009.8,64,0.25,20.9,5.9,7.2,-,,,,
28,25.7,30,19.9,1008.4,60,0,18.2,7.2,10.7,-,,,,
29,23.4,29.4,19.1,1009.5,64,0,15.8,8.1,10.7,-,,,,
30,25.2,28.2,18.9,1010.5,62,0,9.3,4.1,7.2,-,,,,
31,20.7,24,18.6,1010.7,91,38.35,3.7,6.7,10.7,-,o,,,
